"League","Team","GA","CFAFT","CAAFT","O8.5AFT","U8.5AFT","O9.5AFT","U9.5AFT","O10.5AFT","U10.5AFT"
"Malaysia Super League","Johor Darul Ta'zim","2","10.00","3.00","100","0","100","0","50","50"
"Czech Republic 1. Liga","Slavia Praha","5","9.60","3.40","100","0","100","0","60","40"
"Holland Eerste Divisie","ADO Den Haag","5","9.20","3.20","80","20","80","20","60","40"
"Slovakia Fortuna liga","Slovan Bratislava","4","9.00","2.50","75","25","75","25","75","25"
"Bahrain Premier League","Al Riffa","1","9.00","2.00","100","0","100","0","100","0"
"Portugal Primeira Liga","Sporting","4","8.75","3.25","100","0","75","25","75","25"
"Bulgaria Parva liga","Levski Sofia","5","8.60","1.60","80","20","60","40","40","60"
"Egypt Premier League","Al Ahly","4","8.50","3.00","75","25","50","50","50","50"
"England League 1","Huddersfield","5","8.40","3.60","80","20","60","40","60","40"
"Scotland Premiership","Rangers","3","8.33","3.67","100","0","100","0","100","0"
"England Premier League","Tottenham","3","8.33","3.67","100","0","67","33","67","33"
"Northern Ireland NIFL Premiership","Linfield","3","8.33","6.33","100","0","100","0","100","0"
"Israel Ligat ha Al","Hapoel Be'er Sheva","3","8.33","4.33","67","33","67","33","67","33"
"England National League","Forest Green","7","8.29","3.00","71","29","71","29","71","29"
"Belgium 1B Pro League","Lokeren-Temse","4","8.25","6.50","100","0","100","0","75","25"
"Scotland League Two","Elgin City","4","8.25","7.50","100","0","100","0","100","0"
"Holland Eerste Divisie","De Graafschap","4","8.25","4.00","100","0","75","25","75","25"
"England Premier League","Arsenal","3","8.00","4.33","67","33","67","33","67","33"
"Azerbaijan Premier League","Qarabag","2","8.00","3.00","100","0","100","0","50","50"
"England League 1","Wigan","5","8.00","4.60","80","20","80","20","60","40"
"Turkey Super Lig","Samsunspor","3","8.00","6.33","100","0","100","0","100","0"
"Germany Bundesliga I","Mainz","2","8.00","4.50","100","0","100","0","100","0"
"Israel Leumit League","Maccabi Herzliya","2","8.00","7.50","100","0","100","0","100","0"
"Kuwait Premier League","Al Qadsia","2","8.00","3.00","50","50","50","50","50","50"
"Estonia Meistriliiga","Paide","15","7.93","3.40","87","13","87","13","53","47"
"Switzerland Super League","Servette","3","7.67","5.00","100","0","100","0","67","33"
"Finland Veikkausliiga","FC Ilves","13","7.62","3.31","77","23","69","31","54","46"
"Iceland Pepsideild","Breidablik","13","7.62","6.54","92","8","92","8","85","15"
"Holland Eredivisie","Feyenoord","4","7.50","3.25","75","25","75","25","50","50"
"Estonia Meistriliiga","Levadia","14","7.50","3.29","71","29","64","36","64","36"
"Saudi Arabia Saudi Professional","Al Ittihad","2","7.50","3.00","100","0","100","0","50","50"
