"League","Team","GH","CFHFT","CAHFT","O8.5HFT","U8.5HFT","O9.5HFT","U9.5HFT","O10.5HFT","U10.5HFT"
"Bahrain Premier League","Muharraq","2","16.00","1.00","50","50","50","50","50","50"
"Saudi Arabia Saudi Professional","Al Nassr","2","13.00","2.00","100","0","100","0","100","0"
"Malaysia Super League","Johor Darul Ta'zim","4","11.50","2.50","100","0","100","0","75","25"
"Greece Super League","Olympiakos","3","11.00","2.00","100","0","100","0","100","0"
"Czech Republic 1. Liga","Slavia Praha","5","11.00","1.40","100","0","60","40","40","60"
"Scotland Championship","St Johnstone","4","10.50","2.50","75","25","75","25","75","25"
"Norway Eliteserien","Viking FK","11","10.45","4.09","82","18","82","18","82","18"
"Malaysia Super League","Kelantan United","1","10.00","4.00","100","0","100","0","100","0"
"Malaysia Super League","Terengganu","3","10.00","5.00","100","0","100","0","100","0"
"Mexico Apertura","Cruz Azul","6","9.67","3.00","100","0","83","17","83","17"
"USA USL Championship","Birmingham Legion","14","9.50","0.14","93","7","93","7","0","100"
"Norway Division 1","Kongsvinger","12","9.42","4.75","100","0","100","0","83","17"
"Spain Primera Liga","Real Sociedad","3","9.33","2.67","67","33","67","33","67","33"
"Spain Segunda","Almeria","3","9.33","3.00","33","67","33","67","33","67"
"Poland I Liga","Polonia Warszawa","6","9.17","3.67","100","0","83","17","83","17"
"France Ligue 2","Laval","4","9.00","5.75","100","0","100","0","100","0"
"Azerbaijan Premier League","Qarabag","3","9.00","1.00","67","33","33","67","33","67"
"Hungary NB I","Ferencvarosi TC","3","9.00","3.67","67","33","67","33","67","33"
"Italy Serie A","Napoli","2","9.00","1.50","50","50","50","50","50","50"
"Italy Serie A","Atalanta","2","9.00","3.00","100","0","100","0","50","50"
"Greece Super League","PAOK Salonika","3","9.00","1.33","67","33","67","33","67","33"
"China Super League","Shanghai Shenhua","13","8.85","3.69","92","8","77","23","62","38"
"Czech Republic 1. Liga","Viktoria Plzen","5","8.80","3.80","80","20","80","20","80","20"
"Poland Ekstraklasa","GKS Katowice","5","8.80","5.20","100","0","80","20","80","20"
"England League 2","Grimsby","5","8.80","4.00","100","0","80","20","60","40"
"USA USL Championship","New Mexico United","12","8.75","0.58","83","17","83","17","0","100"
"Holland Eerste Divisie","Almere City FC","4","8.75","3.50","75","25","75","25","75","25"
"Spain Primera Liga","Rayo Vallecano","3","8.67","5.00","100","0","100","0","100","0"
"Switzerland Super League","Lausanne Sports","3","8.67","5.67","100","0","100","0","100","0"
"Thailand Thai League 1","Sukhothai","3","8.67","4.67","100","0","100","0","100","0"
"Scotland Premiership","Rangers","2","8.50","1.50","100","0","50","50","50","50"
"England National League","Forest Green","6","8.50","2.83","67","33","50","50","50","50"
"Costa Rica Primera Division","Deportivo Saprissa","6","8.50","5.17","100","0","100","0","100","0"
"Jordan Premier League","Al Faysali","4","8.50","1.75","75","25","75","25","50","50"
"Ukraine Premier League","Shakhtar Donetsk","2","8.50","1.00","100","0","50","50","0","100"
