"League","Team","TG","CFFT","CAFT","O8.5FT","U8.5FT","O9.5FT","U9.5FT","O10.5FT","U10.5FT"
"Bahrain Premier League","Muharraq","3","13.00","1.00","33","67","33","67","33","67"
"Malaysia Super League","Johor Darul Ta'zim","6","11.00","2.67","100","0","100","0","67","33"
"Czech Republic 1. Liga","Slavia Praha","10","10.30","2.40","100","0","80","20","50","50"
"Saudi Arabia Saudi Professional","Al Nassr","4","9.25","2.25","75","25","50","50","50","50"
"Greece Super League","Olympiakos","5","9.00","2.20","80","20","80","20","80","20"
"Holland Eerste Divisie","ADO Den Haag","9","8.67","2.89","89","11","67","33","44","56"
"Azerbaijan Premier League","Qarabag","5","8.60","1.80","80","20","60","40","40","60"
"Scotland Premiership","Rangers","5","8.40","2.80","100","0","80","20","80","20"
"England National League","Forest Green","13","8.38","2.92","69","31","62","38","62","38"
"Scotland Championship","St Johnstone","8","8.25","3.00","63","37","63","37","63","37"
"Israel Ligat ha Al","Hapoel Be'er Sheva","5","8.20","3.20","80","20","60","40","40","60"
"Norway Eliteserien","Viking FK","23","8.17","4.39","74","26","74","26","65","35"
"China Super League","Shanghai Shenhua","26","8.00","4.38","88","12","81","19","69","31"
"Poland I Liga","Polonia Warszawa","12","7.92","4.75","92","8","75","25","75","25"
"Estonia Meistriliiga","Levadia","30","7.80","3.10","79","21","69","31","66","34"
"England League 1","Huddersfield","10","7.80","3.90","80","20","60","40","60","40"
"Bulgaria Parva liga","Levski Sofia","10","7.80","2.30","70","30","60","40","40","60"
"Norway Division 1","Kongsvinger","24","7.79","4.83","88","12","83","17","67","33"
"Holland Eerste Divisie","De Graafschap","9","7.78","4.56","89","11","67","33","56","44"
"Serbia Super Liga","Crvena Zvezda","8","7.63","2.75","100","0","63","37","38","62"
"Holland Eerste Divisie","FC Dordrecht","10","7.60","5.30","90","10","80","20","80","20"
"Italy Serie A","Inter Milan","5","7.60","3.80","80","20","80","20","60","40"
"England Premier League","Arsenal","6","7.50","3.17","67","33","67","33","67","33"
"Norway Eliteserien","SK Brann","22","7.50","4.14","86","14","77","23","50","50"
"Bolivia Division Profesional","Bolívar","21","7.48","3.86","71","29","67","33","57","43"
"Holland Eredivisie","Feyenoord","7","7.43","2.86","71","29","57","43","43","57"
"Portugal Primeira Liga","Sporting","7","7.43","3.00","71","29","57","43","43","57"
"Estonia Meistriliiga","Paide","30","7.43","3.13","72","28","72","28","52","48"
"Czech Republic Division 2","Opava","10","7.40","4.00","90","10","80","20","70","30"
"England League 2","Cambridge Utd","10","7.40","2.50","70","30","60","40","50","50"
"England Championship","Sheff Utd","8","7.38","3.88","63","37","50","50","50","50"
"Holland Eerste Divisie","FC Den Bosch","9","7.33","7.56","89","11","89","11","78","22"
"Germany 3.Liga","1860 Munich","9","7.33","4.11","67","33","67","33","67","33"
"Poland I Liga","S. Rzeszow","12","7.33","5.83","100","0","92","8","92","8"
"Israel Leumit League","Maccabi Petah Tikva","6","7.33","2.83","50","50","50","50","50","50"
"England League 1","Luton","10","7.30","3.60","90","10","60","40","50","50"
"Malaysia Super League","Terengganu","7","7.29","5.86","86","14","86","14","71","29"
"Spain Primera Liga","Real Sociedad","7","7.29","4.57","71","29","71","29","71","29"
"Romania Liga I","Farul Constanta","11","7.27","4.09","82","18","73","27","64","36"
"Scotland League Two","Elgin City","8","7.25","6.88","88","12","88","12","88","12"
"Germany 3.Liga","VfL Osnabruck","9","7.22","4.56","89","11","78","22","67","33"
